feature,pearson_mfe,spearman_mfe,spearman_hit_1p5,fold_spearman_mean,fold_spearman_std,stability,mfe_spread_q90_q10,hit_spread_q90_q10,edge_score
atr_sma50,0.03334361056901533,0.14825417978502842,0.05191523323645269,0.11127159089882088,0.04132533973949078,0.6286116876970402,0.7095728730142237,0.11439842209072981,0.23727841522828189
atr_norm,0.03134125903449674,0.15434249925246032,0.05743239856118129,0.11758361732850986,0.037416780280142906,0.6817884759908068,0.6359326599656709,0.11242603550295854,0.22877100709358797
avg_spread,0.021552546674916018,0.05285900766921845,0.02384107273140437,0.0381571783666214,0.024157738965157226,0.3669053398448119,0.4929744867360881,0.05325443786982248,0.12139610901417798
buy_volume,-0.015594537081144812,-0.05803137754492617,-0.019272064842591682,-0.03968444980662458,0.019590736262270224,0.5063496481020106,-0.3649270325353564,-0.038461538461538436,0.1031944727994145
total_volume,-0.01977815524294279,-0.06858332158914782,-0.02909002557175255,-0.047407970598046,0.017932877042073005,0.6217408474418105,-0.31853924437997305,-0.03550295857988167,0.10246673603533347
spread_sma5,0.016369031902037545,0.04918592127401885,0.016069294491241615,0.03608049084241815,0.02282818875318969,0.3673158115087529,0.4045924061823909,0.040433925049309705,0.10084279003652008
edge_regime_trend_align,0.014137306764208067,0.08686656342045737,0.04091131362801994,0.06310162878431338,0.024544746377545057,0.6110344869872266,0.2550759469436783,0.07889546351084814,0.09976547839650902
sell_volume,-0.0159190821848757,-0.058242888432699265,-0.027732251492145678,-0.04293816743036639,0.027814903451481656,0.3522253663490671,-0.31951483507012424,-0.051282051282051266,0.08625841859017061
tick_velocity_sma5,-0.030472433140837113,-0.0189947215311162,0.005502031528369731,0.023820767208276982,0.05211955012808635,0.0,-0.49699455270630044,-0.02564102564102566,0.08306847727211687
max_spread,0.006839013496487218,0.0765743138265739,0.030933830395699694,0.04319592258868107,0.03026452372085491,0.29938241182057834,0.2740804835861317,0.040173703171932695,0.07267240981971958
edge_imbalance_regime_delta,0.010435890081220275,-0.005553066826826054,-0.0006657435914839833,-0.0007921914688629135,0.014488747426871047,0.0,0.40182456530307054,0.03254437869822485,0.0637261705324988
dist_to_high_50,0.029311088904069513,0.004010477486455954,0.008693541181813962,0.009809725272059571,0.020830404550190914,0.0,0.3645294830653112,0.04733727810650884,0.061865581588462455
volatility_regime,-0.0004018480712300295,0.022210319533663345,0.014276190657158638,0.023790435161051594,0.008557962287641465,0.6402923056255343,0.1883294534615998,0.03254437869822485,0.06143134934790384
tick_velocity,-0.026246179784577092,-0.023156087455357202,0.004462461650204784,0.016118220699277402,0.05232156183704276,0.0,-0.35842235736352324,-0.01282051282051283,0.05907496006139912
